,0,1,2,3,4,5,6,7,8,9
0,1400,1330,1360,1340,1394,1367,1401,1360,1362,1350
1,2478,2503,2543,2545,2514,2513,2517,2496,2513,2498
2,3121,3115,3127,3142,3139,3131,3148,3089,3146,3124
3,3500,3476,3513,3487,3457,3481,3516,3503,3515,3496
4,3711,3682,3710,3679,3712,3697,3707,3718,3665,3672
5,3808,3868,3856,3799,3873,3868,3810,3863,3835,3833
6,3964,3914,3928,3946,3961,3919,3940,3991,4004,3970
7,4035,3995,4008,4054,4070,4047,4020,3991,4005,4017
8,4041,4050,4088,4085,4102,4103,4060,4069,4089,4093
9,4131,4132,4133,4161,4085,4062,4132,4122,4127,4138
10,4133,4114,4143,4150,4118,4154,4157,4124,4135,4137
11,4205,4160,4195,4165,4200,4174,4167,4179,4148,4158
12,4192,4145,4199,4179,4181,4174,4207,4178,4167,4181
13,4186,4207,4190,4216,4194,4241,4198,4203,4158,4232
14,4205,4217,4229,4228,4208,4194,4288,4206,4212,4212
15,4196,4252,4240,4243,4226,4245,4295,4224,4244,4238
16,4228,4241,4265,4200,4277,4190,4230,4234,4278,4280
17,4255,4271,4249,4242,4243,4238,4251,4210,4220,4255
18,4275,4277,4272,4255,4263,4261,4276,4273,4272,4244
19,4256,4262,4262,4267,4250,4259,4268,4299,4244,4249
20,4258,4291,4251,4265,4235,4241,4287,4297,4265,4259
21,4252,4277,4272,4281,4251,4279,4301,4330,4281,4257
22,4262,4276,4308,4271,4252,4255,4252,4296,4325,4239
23,4267,4282,4267,4296,4262,4259,4280,4291,4298,4279
24,4271,4262,4270,4334,4307,4306,4310,4311,4253,4288
25,4260,4292,4286,4311,4302,4292,4284,4261,4270,4283
26,4303,4305,4277,4304,4259,4288,4266,4283,4290,4270
27,4267,4282,4309,4257,4314,4299,4303,4323,4280,4260
28,4289,4313,4308,4285,4298,4337,4289,4272,4311,4299
29,4288,4315,4307,4300,4322,4274,4317,4301,4330,4302
30,4346,4324,4306,4317,4298,4288,4260,4297,4290,4303
31,4297,4334,4285,4308,4293,4312,4256,4273,4300,4311
32,4312,4291,4260,4293,4268,4290,4305,4309,4309,4270
33,4299,4303,4302,4312,4308,4301,4300,4341,4306,4261
34,4275,4297,4306,4289,4270,4299,4308,4276,4308,4307
35,4315,4298,4293,4345,4341,4309,4325,4308,4334,4327
36,4347,4307,4287,4301,4285,4305,4299,4325,4321,4311
37,4310,4300,4281,4345,4328,4334,4347,4293,4308,4299
38,4327,4294,4284,4327,4297,4309,4306,4296,4289,4297
39,4324,4319,4300,4314,4317,4298,4332,4262,4295,4323
40,4317,4327,4317,4309,4319,4303,4336,4335,4339,4294
41,4354,4332,4309,4294,4300,4314,4295,4321,4296,4313
42,4283,4318,4332,4309,4325,4287,4311,4337,4308,4291
43,4302,4310,4305,4302,4298,4315,4258,4310,4319,4288
44,4350,4330,4335,4328,4321,4310,4318,4298,4284,4303
45,4310,4297,4332,4287,4341,4307,4308,4331,4320,4314
46,4306,4313,4326,4292,4317,4352,4314,4335,4336,4298
47,4315,4308,4335,4316,4306,4292,4327,4306,4337,4297
48,4302,4321,4308,4324,4303,4308,4294,4333,4294,4305
49,4298,4294,4293,4319,4303,4285,4276,4334,4286,4321
50,4283,4349,4303,4328,4326,4316,4324,4318,4316,4303
51,4310,4305,4331,4334,4311,4279,4318,4303,4320,4313
52,4341,4292,4311,4336,4289,4293,4302,4283,4311,4302
53,4331,4312,4295,4307,4307,4358,4341,4313,4325,4304
54,4308,4337,4343,4307,4294,4299,4326,4365,4327,4329
55,4305,4310,4280,4323,4296,4298,4298,4317,4272,4302
56,4335,4313,4350,4324,4310,4327,4343,4308,4333,4294
57,4325,4317,4304,4295,4287,4316,4334,4324,4328,4349
58,4289,4333,4341,4306,4333,4337,4306,4304,4298,4306
59,4317,4317,4324,4329,4265,4315,4314,4319,4355,4292
60,4331,4281,4308,4302,4301,4318,4337,4316,4339,4282
61,4312,4332,4323,4322,4333,4308,4318,4323,4292,4318
62,4309,4279,4337,4304,4300,4340,4309,4314,4287,4308
63,4317,4314,4273,4298,4298,4314,4327,4351,4304,4315
64,4321,4285,4315,4337,4328,4315,4310,4306,4304,4337
65,4321,4324,4302,4338,4335,4358,4314,4321,4336,4322
66,4328,4291,4322,4365,4307,4277,4337,4321,4333,4298
67,4333,4340,4336,4321,4321,4320,4306,4288,4319,4335
68,4302,4318,4319,4327,4318,4319,4344,4347,4305,4300
69,4319,4285,4306,4301,4333,4344,4344,4326,4327,4319
70,4345,4337,4339,4347,4337,4316,4323,4312,4333,4342
71,4343,4344,4334,4291,4332,4316,4318,4312,4322,4357
72,4304,4298,4308,4300,4329,4311,4301,4312,4330,4295
73,4321,4341,4326,4289,4323,4323,4343,4336,4303,4338
74,4309,4337,4319,4310,4304,4318,4317,4322,4289,4290
75,4321,4306,4339,4339,4316,4338,4278,4297,4288,4352
76,4291,4333,4325,4311,4309,4324,4312,4317,4321,4311
77,4333,4302,4330,4353,4326,4288,4361,4333,4325,4310
78,4317,4303,4312,4283,4262,4332,4325,4325,4297,4270
79,4309,4312,4341,4332,4333,4290,4333,4359,4336,4313
80,4322,4317,4307,4301,4321,4286,4372,4357,4383,4323
81,4344,4320,4334,4314,4319,4315,4320,4319,4340,4325
82,4361,4313,4333,4310,4350,4323,4301,4299,4367,4332
83,4328,4277,4310,4315,4313,4334,4344,4350,4323,4308
84,4356,4331,4345,4315,4316,4301,4332,4322,4306,4317
85,4319,4346,4331,4331,4314,4328,4260,4304,4300,4318
86,4338,4319,4319,4306,4326,4332,4304,4292,4326,4327
87,4305,4347,4298,4318,4346,4324,4292,4316,4321,4308
88,4347,4310,4289,4325,4304,4338,4315,4293,4325,4285
89,4326,4278,4317,4323,4310,4311,4307,4296,4334,4309
90,4316,4277,4319,4314,4325,4296,4322,4316,4295,4324
91,4310,4302,4337,4295,4323,4347,4298,4319,4297,4320
92,4342,4290,4343,4312,4290,4306,4352,4326,4338,4326
93,4302,4319,4312,4297,4312,4295,4316,4314,4310,4314
94,4312,4321,4329,4332,4298,4329,4303,4331,4330,4351
95,4348,4336,4349,4389,4329,4326,4309,4317,4352,4327
96,4308,4313,4365,4295,4333,4306,4333,4327,4314,4322
97,4296,4285,4268,4331,4330,4327,4322,4333,4304,4348
98,4304,4307,4345,4328,4291,4249,4330,4287,4322,4321
